,STANDARD_VALUE,STANDARD_UNITS,activity_class,SMILES,molecule
457,1584.89,nM,0,CC(C)NC(=O)COc1cccc(c1)c2nc(Nc3ccc4[nH]ncc4c3)c5ccccc5n2,CHEMBL2005186
458,1584.89,nM,1,OCC(NC(=O)N1CCC(=CC1)c2c[nH]c3ncccc23)c4ccccc4,CHEMBL1964937
459,1584.89,nM,0,C(c1ccccc1)c2cn(nn2)c3ccc4[nH]ncc4c3,CHEMBL1682341
460,100.0,nM,1,Cc1cc(Nc2nc(Cl)cc(NCc3ccccc3)n2)n[nH]1,CHEMBL2005449
461,1584.89,nM,0,CNC(=O)N1CCN(CCCOc2ccc3Cc4c(n[nH]c4c3c2)c5ccc(nc5)C#N)CC1,CHEMBL2001998
462,19952.62,nM,1,Nc1nnc2cncc(Cl)n12,CHEMBL1968130
463,5011.87,nM,0,COc1cccc(c1)C(C)NC(=O)c2ccc(cc2)c3ccncc3,CHEMBL1975121
464,630.96,nM,1,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,CHEMBL1966514
465,5011.87,nM,0,CC(C)c1ccc2C(=O)c3c(C)ccnc3Nc2c1,CHEMBL1989471
466,5011.87,nM,0,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,CHEMBL574738
467,5011.87,nM,0,ON=C1c2ccccc2c3ccc(NS(=O)(=O)c4cccc(Br)c4)cc13,CHEMBL1973793
468,501.19,nM,1,COc1ccc2NC(=O)C(=Cc3c[nH]cn3)c2c1,CHEMBL2002649
469,5011.87,nM,0,CC(C)Nc1ncc(Br)c(Nc2ncc(C)s2)n1,CHEMBL1973013
470,316.23,nM,1,CNc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCNCC4)n2,CHEMBL1999484
471,5011.87,nM,0,Oc1ccc2nc([nH]c2c1)c3ccc(Sc4ccc(cc4)c5nc6ccc(O)cc6[nH]5)cc3,CHEMBL2001149
472,5011.87,nM,0,Clc1ccc(cc1)C(=O)Nc2n[nH]c3ccc(cc23)c4cn(Cc5ccccc5)nn4,CHEMBL1987073
473,3162.28,nM,0,Cc1ccc2nccc(NC(=O)Nc3cccc(n3)C(F)(F)F)c2c1,CHEMBL1964444
474,5011.87,nM,0,CCN(CC)CCCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,CHEMBL1999414
475,3.16,nM,1,CC1CCN(CC1c2ncc3cnc4[nH]ccc4n23)C(=O)CC#N,CHEMBL1966175
476,5011.87,nM,0,CC(C)(C)c1cc(NC(=O)C(=O)c2cccc3ccccc23)n(n1)c4ccc(OCC(=O)N)cc4,CHEMBL1977634
477,501.19,nM,1,CC(C)(CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23)CNS(=O)(=O)C,CHEMBL1971172
478,1584.89,nM,0,CN1CCN(CCCNc2cccc(n2)c3nc4c(cccc4[nH]3)C(=O)N)CC1,CHEMBL2006237
479,5011.87,nM,0,OC(=O)C1CN(Cc2ccc(OCc3ccccc3)cc2Cl)C1,CHEMBL1987998
480,1584.89,nM,0,COc1cccc(c1)C(C)NC(=O)c2ccc(cc2)c3ccncn3,CHEMBL2004872
481,1584.89,nM,0,CC(C)Nc1c(nc2ncccn12)c3ccc4[nH]ncc4c3,CHEMBL1682553
482,3981.07,nM,1,Fc1cc2nccc(NC(=O)Nc3cccc(n3)C(F)(F)F)c2cc1F,CHEMBL1981792
483,1584.89,nM,0,FC(F)(F)c1ccc2nccc(NC(=O)Nc3cnccn3)c2c1,CHEMBL1976455
484,3981.07,nM,1,COc1c2C(=O)C=C(C)Oc2cc(O)c1c3nc4ccccc4[nH]3,CHEMBL1972355
485,125.89,nM,1,Cc1ccccc1c2c(nnn2Cc3ccccc3)c4ccc5[nH]nc(N)c5c4,CHEMBL2000029
486,5011.87,nM,0,Nc1nc(Cl)cc(n1)c2c[nH]c3ncccc23,CHEMBL2007574
487,1584.89,nM,1,COc1cc(C=C(C#N)c2n[nH]c(N)c2C#N)ccc1O,CHEMBL2002407
488,5011.87,nM,0,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N4CCCCC4CCO,CHEMBL2006674
489,1584.89,nM,0,Fc1ccc(NC(=O)Nc2ccc(cc2)c3cccc4sncc34)cc1C(F)(F)F,CHEMBL2000801
